1,Luís,Gonçalves,Embraer - Empresa Brasileira de Aeronáutica S.A.,"Av. Brigadeiro Faria Lima, 2170",São José dos Campos,SP,Brazil,12227-000,+55 (12) 3923-5555,+55 (12) 3923-5566,luisg@embraer.com.br,3
2,Leonie,Köhler,null,Theodor-Heuss-Straße 34,Stuttgart,null,Germany,70174,+49 0711 2842222,null,leonekohler@surfeu.de,5
3,François,Tremblay,null,1498 rue Bélanger,Montréal,QC,Canada,H2G 1A7,+1 (514) 721-4711,null,ftremblay@gmail.com,3
4,Bjørn,Hansen,null,Ullevålsveien 14,Oslo,null,Norway,171,+47 22 44 22 22,null,bjorn.hansen@yahoo.no,4
5,František,Wichterlová,JetBrains s.r.o.,Klanova 9/506,Prague,null,Czech Republic,14700,+420 2 4172 5555,+420 2 4172 5555,frantisekw@jetbrains.com,4
,,,,,,,,,,,,
1,2,01-01-2021 00:00,Theodor-Heuss-Straße 34,Stuttgart,null,Germany,70174,1.98,,,,
2,4,02-01-2021 00:00,Ullevålsveien 14,Oslo,null,Norway,171,3.96,,,,
3,8,03-01-2021 00:00,Grétrystraat 63,Brussels,null,Belgium,1000,5.94,,,,
4,14,06-01-2021 00:00,8210 111 ST NW,Edmonton,AB,Canada,T6G 2C7,8.91,,,,
5,23,11-01-2021 00:00,69 Salem Street,Boston,MA,USA,2113,13.86,,,,
,,,,,,,,,,,,
59,,,,,,,,,,,,
,,,,,,,,,,,,
"""412""",,,,,,,,,,,,
,,,,,,,,,,,,
Frank,Harris,USA,,,,,,,,,,
Jack,Smith,USA,,,,,,,,,,
Michelle,Brooks,USA,,,,,,,,,,
Tim,Goyer,USA,,,,,,,,,,
Dan,Miller,USA,,,,,,,,,,
Kathy,Chase,USA,,,,,,,,,,
Heather,Leacock,USA,,,,,,,,,,
John,Gordon,USA,,,,,,,,,,
Frank,Ralston,USA,,,,,,,,,,
Victor,Stevens,USA,,,,,,,,,,
Richard,Cunningham,USA,,,,,,,,,,
Patrick,Gray,USA,,,,,,,,,,
Julia,Barnett,USA,,,,,,,,,,
,,,,,,,,,,,,
,5,13.86,,,,,,,,,,
,12,13.86,,,,,,,,,,
,19,13.86,,,,,,,,,,
,26,13.86,,,,,,,,,,
,33,13.86,,,,,,,,,,
,40,13.86,,,,,,,,,,
,47,13.86,,,,,,,,,,
,54,13.86,,,,,,,,,,
,61,13.86,,,,,,,,,,
,68,13.86,,,,,,,,,,
,75,13.86,,,,,,,,,,
,82,13.86,,,,,,,,,,
,88,17.91,,,,,,,,,,
,89,18.86,,,,,,,,,,
,96,21.86,,,,,,,,,,
,103,15.86,,,,,,,,,,
,110,13.86,,,,,,,,,,
,117,13.86,,,,,,,,,,
,124,13.86,,,,,,,,,,
,131,13.86,,,,,,,,,,
,138,13.86,,,,,,,,,,
,145,13.86,,,,,,,,,,
,152,13.86,,,,,,,,,,
,159,13.86,,,,,,,,,,
,166,13.86,,,,,,,,,,
,173,13.86,,,,,,,,,,
,180,13.86,,,,,,,,,,
,187,13.86,,,,,,,,,,
,193,14.91,,,,,,,,,,
,194,21.86,,,,,,,,,,
,201,18.86,,,,,,,,,,
,208,15.86,,,,,,,,,,
,215,13.86,,,,,,,,,,
,222,13.86,,,,,,,,,,
,229,13.86,,,,,,,,,,
,236,13.86,,,,,,,,,,
,243,13.86,,,,,,,,,,
,250,13.86,,,,,,,,,,
,257,13.86,,,,,,,,,,
,264,13.86,,,,,,,,,,
,271,13.86,,,,,,,,,,
,278,13.86,,,,,,,,,,
,285,13.86,,,,,,,,,,
,292,13.86,,,,,,,,,,
,298,10.91,,,,,,,,,,
,299,23.86,,,,,,,,,,
,306,16.86,,,,,,,,,,
,311,11.94,,,,,,,,,,
,312,10.91,,,,,,,,,,
,313,16.86,,,,,,,,,,
,320,13.86,,,,,,,,,,
,327,13.86,,,,,,,,,,
,334,13.86,,,,,,,,,,
,341,13.86,,,,,,,,,,
,348,13.86,,,,,,,,,,
,355,13.86,,,,,,,,,,
,362,13.86,,,,,,,,,,
,369,13.86,,,,,,,,,,
,376,13.86,,,,,,,,,,
,383,13.86,,,,,,,,,,
,390,13.86,,,,,,,,,,
,397,13.86,,,,,,,,,,
,404,25.86,,,,,,,,,,
,411,13.86,,,,,,,,,,
,,,,,,,,,,,,
,404,25.86,,,,,,,,,,
,299,23.86,,,,,,,,,,
,96,21.86,,,,,,,,,,
,194,21.86,,,,,,,,,,
,89,18.86,,,,,,,,,,
,201,18.86,,,,,,,,,,
,88,17.91,,,,,,,,,,
,306,16.86,,,,,,,,,,
,313,16.86,,,,,,,,,,
,103,15.86,,,,,,,,,,
,,,,,,,,,,,,
,5.651941748,,,,,,,,,,,
,,,,,,,,,,,,
,Argentina,7,,,,,,,,,,
,Australia,7,,,,,,,,,,
,Austria,7,,,,,,,,,,
,Belgium,7,,,,,,,,,,
,Brazil,35,,,,,,,,,,
,Canada,56,,,,,,,,,,
,Chile,7,,,,,,,,,,
,Czech Republic,14,,,,,,,,,,
,Denmark,7,,,,,,,,,,
,Finland,7,,,,,,,,,,
,France,35,,,,,,,,,,
,Germany,28,,,,,,,,,,
,Hungary,7,,,,,,,,,,
,India,13,,,,,,,,,,
,Ireland,7,,,,,,,,,,
,Italy,7,,,,,,,,,,
,Netherlands,7,,,,,,,,,,
,Norway,7,,,,,,,,,,
,Poland,7,,,,,,,,,,
,Portugal,14,,,,,,,,,,
,Spain,7,,,,,,,,,,
,Sweden,7,,,,,,,,,,
,USA,91,,,,,,,,,,
,United Kingdom,21,,,,,,,,,,
,,,,,,,,,,,,
,Argentina,37.62,,,,,,,,,,
,Australia,37.62,,,,,,,,,,
,Austria,42.62,,,,,,,,,,
,Belgium,37.62,,,,,,,,,,
,Brazil,190.1,,,,,,,,,,
,Canada,303.96,,,,,,,,,,
,Chile,46.62,,,,,,,,,,
,Czech Republic,90.24,,,,,,,,,,
,Denmark,37.62,,,,,,,,,,
,Finland,41.62,,,,,,,,,,
,France,195.1,,,,,,,,,,
,Germany,156.48,,,,,,,,,,
,Hungary,45.62,,,,,,,,,,
,India,75.26,,,,,,,,,,
,Ireland,45.62,,,,,,,,,,
,Italy,37.62,,,,,,,,,,
,Netherlands,40.62,,,,,,,,,,
,Norway,39.62,,,,,,,,,,
,Poland,37.62,,,,,,,,,,
,Portugal,77.24,,,,,,,,,,
,Spain,37.62,,,,,,,,,,
,Sweden,38.62,,,,,,,,,,
,USA,523.06,,,,,,,,,,
,United Kingdom,112.86,,,,,,,,,,
